市场,产品线,竞争品牌,竞品型号,ASIN,ASIN Link,Sold_By,Price_2026-03-23,Price_2026-03-24,Price_2026-03-25,Price_2026-03-26
US,记录仪-小机器,ROVE,R2-4K DUAL,B0D6J5B98H,https://www.amazon.com/dp/B0D6J5B98H,ROVE Dash Cam,129.99,129.99,109.98,109.98
US,记录仪-小机器,VIOFO,A229 Plus,B0CKX14L34,https://www.amazon.com/dp/B0CKX14L34,VIOFO LTD,189.99,189.99,159.99,159.99
US,记录仪-小机器,Garmin,Dash Cam Mini 3,B0DDM7PFLW,https://www.amazon.com/dp/B0DDM7PFLW,Amazon.com,123.99,125.99,125.99,125.99
US,记录仪-小机器,70mai,M310,B09P14VT3C,https://www.amazon.com/dp/B09P14VT3C,70mai,32.99,32.99,27.98,27.98
US,记录仪-小机器,ROVE,R2-4K,B074JT3698,https://www.amazon.com/dp/B074JT3698,ROVE Dash Cam,99.99,99.99,74.99,74.99
US,记录仪-小机器,VIOFO,A119 Mini 2,B0C5MVB7NX,https://www.amazon.com/dp/B0C5MVB7NX,VIOFO LTD,104.49,104.49,85.99,85.99
US,记录仪-小机器,VIOFO,A229 Pro 2CH,B0CKYFSKNN,https://www.amazon.com/dp/B0CKYFSKNN,VIOFO LTD,279.99,279.99,219.98,219.98
US,记录仪-小机器,VIOFO,A329S 2CH,B0FFT3YBH7,https://www.amazon.com/dp/B0FFT3YBH7,VIOFO LTD,399.99,399.99,373.97,373.97
US,记录仪-小机器,VIOFO,A329S 3CH,B0FFT52P6R,https://www.amazon.com/dp/B0FFT52P6R,VIOFO LTD,469.99,469.99,429.98,429.98
US,记录仪-小机器,VANTRUE,N4S 3CH,B0FXWYWM8L,https://www.amazon.com/dp/B0FXWYWM8L,VANTRUE,219.99,219.99,174.99,174.99
US,记录仪-小机器,VANTRUE,N2X,B0D9GRRXH5,https://www.amazon.com/dp/B0D9GRRXH5,VANTRUE,199.99,199.99,89.99,199.99
US,记录仪-小机器,VANTRUE,N4 Pro S 3CH,B0FG7ZX4R4,https://www.amazon.com/dp/B0FG7ZX4R4,VANTRUE,319.98,319.98,299.99,299.99
US,记录仪-小机器,VANTRUE,E1 Pro,B0F8BQW4TR,https://www.amazon.com/dp/B0F8BQW4TR,VANTRUE,379.99,379.99,279.98,279.98
US,记录仪-小机器,VANTRUE,E360 Plus,B0FBGPSV5B,https://www.amazon.com/dp/B0FBGPSV5B,VANTRUE,249.99,249.99,249.99,249.99
US,记录仪-小机器,ROVE,R2-4K Pro,B0BZRKRBHP,https://www.amazon.com/dp/B0BZRKRBHP,ROVE Dash Cam,109.99,109.99,84.99,84.99
